date,AOD_x,AOD_y,mean
2010-08-10,0.0,0.4072435897435897,0.4072435897435897
2010-08-11,0.8879090909090909,0.0,0.8879090909090909
2010-08-12,0.354,0.0,0.354
2010-08-13,0.4073076923076923,0.3059230769230769,0.3566153846153846
2010-08-14,1.646510067114094,1.7964027777777778,1.7214564224459359
2010-08-15,1.3287058823529412,1.1561698113207546,1.242437846836848
2010-08-16,1.0855172413793102,1.3223801652892562,1.2039487033342833
2010-08-17,0.0,1.0033663366336634,1.0033663366336634
2010-08-18,1.505,0.0,1.505
2010-08-19,0.0,0.9563333333333334,0.9563333333333334
2010-08-20,0.0,0.992,0.992
2010-08-22,0.3236,0.399,0.3613
2010-08-23,0.2668,0.1655,0.21615
2010-08-24,0.0,0.5933134328358209,0.5933134328358209
2010-08-25,0.4379230769230769,0.0,0.4379230769230769
